,Sno,Headline,Covid,Sentiment,Covid_punct,clean_covid,clean_covid_v2,clean_covid_v3,clean_covid_v4,clean_covid_v5,clean_covid_v6,covid_token,covid_token_filtered,covid_stemmed,covid_lemmatized
0,0,"Coronavirus cases reach 2,438 in Rajasthan; 814 patients recover",1,0,Coronavirus cases reach  in Rajasthan  patients recover,Coronavirus cases reach  in Rajasthan  patients recover,Coronavirus cases reach  in Rajasthan  patients recover,Coronavirus cases reach  in Rajasthan  patients recover,coronavirus cases reach  in rajasthan  patients recover,coronavirus cases reach  in rajasthan  patients recover,coronavirus cases reach  in rajasthan  patients recover,"['coronavirus', 'cases', 'reach', 'in', 'rajasthan', 'patients', 'recover']","['coronavirus', 'cases', 'reach', 'rajasthan', 'patients', 'recover']",coronaviru case reach rajasthan patient recov,coronavirus case reach rajasthan patient recover
1,1,"Coronavirus cases in Delhi surge to 3,439 after 125 new cases reported today",1,0,Coronavirus cases in Delhi surge to  after  new cases reported today,Coronavirus cases in Delhi surge to  after  new cases reported today,Coronavirus cases in Delhi surge to  after  new cases reported today,Coronavirus cases in Delhi surge to  after  new cases reported today,coronavirus cases in delhi surge to  after  new cases reported today,coronavirus cases in delhi surge to  after  new cases reported today,coronavirus cases in delhi surge to  after  new cases reported today,"['coronavirus', 'cases', 'in', 'delhi', 'surge', 'to', 'after', 'new', 'cases', 'reported', 'today']","['coronavirus', 'cases', 'delhi', 'surge', 'new', 'cases', 'reported', 'today']",coronaviru case delhi surg new case report today,coronavirus case delhi surge new case reported today
2,2,"Anguished, I'll always recall our interactions: PM Modi on Rishi Kapoor's death",0,1,Anguished Ill always recall our interactions PM Modi on Rishi Kapoors death,Anguished Ill always recall our interactions PM Modi on Rishi Kapoors death,Anguished Ill always recall our interactions PM Modi on Rishi Kapoors death,Anguished Ill always recall our interactions PM Modi on Rishi Kapoors death,anguished ill always recall our interactions pm modi on rishi kapoors death,anguished ill always recall our interactions pm modi on rishi kapoors death,anguished ill always recall our interactions pm modi on rishi kapoors death,"['anguished', 'ill', 'always', 'recall', 'our', 'interactions', 'pm', 'modi', 'on', 'rishi', 'kapoors', 'death']","['anguished', 'ill', 'always', 'recall', 'interactions', 'pm', 'modi', 'rishi', 'kapoors', 'death']",anguish ill alway recal interact pm modi rishi kapoor death,anguished ill always recall interaction pm modi rishi kapoors death
3,3,It's a terrible week for Indian cinema: Rahul Gandhi on Rishi Kapoor's demise,0,0,Its a terrible week for Indian cinema Rahul Gandhi on Rishi Kapoors demise,Its a terrible week for Indian cinema Rahul Gandhi on Rishi Kapoors demise,Its a terrible week for Indian cinema Rahul Gandhi on Rishi Kapoors demise,Its a terrible week for Indian cinema Rahul Gandhi on Rishi Kapoors demise,its a terrible week for indian cinema rahul gandhi on rishi kapoors demise,its a terrible week for indian cinema rahul gandhi on rishi kapoors demise,its a terrible week for indian cinema rahul gandhi on rishi kapoors demise,"['its', 'a', 'terrible', 'week', 'for', 'indian', 'cinema', 'rahul', 'gandhi', 'on', 'rishi', 'kapoors', 'demise']","['terrible', 'week', 'indian', 'cinema', 'rahul', 'gandhi', 'rishi', 'kapoors', 'demise']",terribl week indian cinema rahul gandhi rishi kapoor demis,terrible week indian cinema rahul gandhi rishi kapoors demise
4,4,Delhi Police perform 'parikrama' of AIIMS to thank medical staff,1,1,Delhi Police perform parikrama of AIIMS to thank medical staff,Delhi Police perform parikrama of AIIMS to thank medical staff,Delhi Police perform parikrama of AIIMS to thank medical staff,Delhi Police perform parikrama of AIIMS to thank medical staff,delhi police perform parikrama of aiims to thank medical staff,delhi police perform parikrama of aiims to thank medical staff,delhi police perform parikrama of aiims to thank medical staff,"['delhi', 'police', 'perform', 'parikrama', 'of', 'aiims', 'to', 'thank', 'medical', 'staff']","['delhi', 'police', 'perform', 'parikrama', 'aiims', 'thank', 'medical', 'staff']",delhi polic perform parikrama aiim thank medic staff,delhi police perform parikrama aiims thank medical staff
5,5,MP government offices resume work with 30% staff,1,1,MP government offices resume work with  staff,MP government offices resume work with  staff,MP government offices resume work with  staff,MP government offices resume work with  staff,mp government offices resume work with  staff,mp government offices resume work with  staff,mp government offices resume work with  staff,"['mp', 'government', 'offices', 'resume', 'work', 'with', 'staff']","['mp', 'government', 'offices', 'resume', 'work', 'staff']",mp govern offic resum work staff,mp government office resume work staff
6,6,"Over 6k labourers, students brought back to J&K in past 4 days amid lockdown",1,1,Over k labourers students brought back to JK in past  days amid lockdown,Over k labourers students brought back to JK in past  days amid lockdown,Over k labourers students brought back to JK in past  days amid lockdown,Over k labourers students brought back to JK in past  days amid lockdown,over k labourers students brought back to just kidding in past  days amid lockdown,over k labourers students brought back to just kidding in past  days amid lockdown,over k labourers students brought back to just kidding in past  days amid lockdown,"['over', 'k', 'labourers', 'students', 'brought', 'back', 'to', 'just', 'kidding', 'in', 'past', 'days', 'amid', 'lockdown']","['k', 'labourers', 'students', 'brought', 'back', 'kidding', 'past', 'days', 'amid', 'lockdown']",k labour student brought back kid past day amid lockdown,k labourer student brought back kidding past day amid lockdown
7,7,"127 new COVID-19 cases in Pune district in 12 hours, total exceeds 1,700",1,0, new COVID cases in Pune district in  hours total exceeds , new COVID cases in Pune district in  hours total exceeds , new COVID cases in Pune district in  hours total exceeds , new COVID cases in Pune district in  hours total exceeds , new covid cases in pune district in  hours total exceeds , new covid cases in pune district in  hours total exceeds , new covid cases in pune district in  hours total exceeds ,"['new', 'covid', 'cases', 'in', 'pune', 'district', 'in', 'hours', 'total', 'exceeds']","['new', 'covid', 'cases', 'pune', 'district', 'hours', 'total', 'exceeds']",new covid case pune district hour total exce,new covid case pune district hour total exceeds
8,8,Journalist among 10 new COVID-19 cases reported in Kerala,1,0,Journalist among  new COVID cases reported in Kerala,Journalist among  new COVID cases reported in Kerala,Journalist among  new COVID cases reported in Kerala,Journalist among  new COVID cases reported in Kerala,journalist among  new covid cases reported in kerala,journalist among  new covid cases reported in kerala,journalist among  new covid cases reported in kerala,"['journalist', 'among', 'new', 'covid', 'cases', 'reported', 'in', 'kerala']","['journalist', 'among', 'new', 'covid', 'cases', 'reported', 'kerala']",journalist among new covid case report kerala,journalist among new covid case reported kerala
9,9,"Maha's Nashik district reports 71 new cases, including 6 police personnel",1,0,Mahas Nashik district reports  new cases including  police personnel,Mahas Nashik district reports  new cases including  police personnel,Mahas Nashik district reports  new cases including  police personnel,Mahas Nashik district reports  new cases including  police personnel,mahas nashik district reports  new cases including  police personnel,mahas nashik district reports  new cases including  police personnel,mahas nashik district reports  new cases including  police personnel,"['mahas', 'nashik', 'district', 'reports', 'new', 'cases', 'including', 'police', 'personnel']","['mahas', 'nashik', 'district', 'reports', 'new', 'cases', 'including', 'police', 'personnel']",maha nashik district report new case includ polic personnel,maha nashik district report new case including police personnel
